2017-11-07 14:10:25.571 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-07 14:10:25.575 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["56c6651b1311e8fccd16a3b609be0fc04e2b3f8b"],"timestamp":["1510035025"],"nonce":["1961282086"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-07 14:10:25.575 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510035025</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591669406</MenuId></xml>
2017-11-07 14:10:25.577 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-07 14:10:25.577 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510035025</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591669406</MenuId></xml>
2017-11-07 14:10:25.591 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-07 14:10:25.591 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-07 14:10:25.591 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-07 14:10:25.591 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 14:10:25.988 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"67QD2E-yhL3TBzNgBpOz2CW_A1q9ODZdqG5CQYJcfP2tOHG1XQaBHlmEwBXBilEy2nccjvdn4_ZNYNcnkrj16tDMKKYXlXNQMmoi01c4-y85fDywmYIAC2sOY15rTv-4EAXeAAASOL","expires_in":7200}
2017-11-07 14:10:26.106 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhHSQIYlDgkkvWFFZAoiCyMeRK-_uHffh8IGz5wqv2Z0A","errmsg":"ok","expires_in":7200}
