2017-11-06 15:19:10.804 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-06 15:19:10.927 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["bf135bab126814c14ead2f6498dbc4da1cadc90f"],"timestamp":["1509952748"],"nonce":["1410410332"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-06 15:19:10.928 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1509952748</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591656130</MenuId></xml>
2017-11-06 15:19:10.930 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-06 15:19:10.930 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1509952748</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591656130</MenuId></xml>
2017-11-06 15:19:11.329 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-06 15:19:11.329 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-06 15:19:11.329 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-06 15:19:11.330 [http-apr-8080-exec-8] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-06 15:19:12.093 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"VJb4-u6SuRVs-8eurU1gp-wdmSg5jHspAcDT9mPPT5lKEQRpz_m7nonQyZsDrnQV6G5_UD3OIxfsNSoj3Qa5nTldosOERqAKQWBgDJ5LdIwCQDeADALZM","expires_in":7200}
2017-11-06 15:19:12.174 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki419zagN1aHmm6zri76PigOOxHOAL7l9jxPoGq84BzFg","errmsg":"ok","expires_in":7200}
2017-11-06 15:19:12.174 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:VJb4-u6SuRVs-8eurU1gp-wdmSg5jHspAcDT9mPPT5lKEQRpz_m7nonQyZsDrnQV6G5_UD3OIxfsNSoj3Qa5nTldosOERqAKQWBgDJ5LdIwCQDeADALZM
2017-11-06 15:19:12.175 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMki419zagN1aHmm6zri76PigOOxHOAL7l9jxPoGq84BzFg
2017-11-06 15:19:12.175 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:8587d77d-f90c-42fa-b707-db96571dd833
2017-11-06 15:19:12.175 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1509952750
