2017-11-09 11:12:16.754 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.controller.WeiXinServlet - post--------------
2017-11-09 11:12:16.757 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - parms:{"msg_signature":["a6550006d7c4a54866898ed189367b15c4fc1d7f"],"timestamp":["1510197135"],"nonce":["806657584"]}
2017-11-09 11:12:16.758 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - postData:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><Encrypt><![CDATA[bQFrBkd/O1GD2phLAaXAuIJByxL2zO3XUGiMYFAuzHzs+JYIb1jFfoBhW/0146uVNkcqDqyLqRvAq09hPMoXDiHvcOyjLLPLvUdxRXbVctzPwkBLx9A+lz6Hj0K8EWZiikWLXR9m3pjyF3gcNeG8Nb8vWw9cZxthzYU3KIhlCQzSMsAQD01abYHvMFoSmqqFNYbqyjZ8Zeq5PGwSzLc5X1bHpeHemxY25Nx/VLjkle/EATXw4aQyrDXTp7ubBlUOemU4j7F9UbwNhSK/7LIjwZn0yAdhCDmzV5jhZK8VWJL5HyyTU5dCzOCAKSv/Ho3USj+7SW+mMerwlDnio2rjDGHD0Kav0hyh9hv92sSX2tenQhM/s7t4dn8rjpRIq3wFLIvjRnBYlm7Y8UlRPl8yqdV5kr2i29OetPE4y56UGT9O/FE/pzhOhqkH/8ehmSien1xr+SATlqQa6Nc+yjlcuSeAAAYeCvwGSR3RcFdxsK6P2WSe/CqjoqNRPhy7R4Ro]]></Encrypt><AgentID><![CDATA[1000002]]></AgentID></xml>
2017-11-09 11:12:16.759 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - reply_xmlMsg:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><FromUserName><![CDATA[ShiRui]]></FromUserName><CreateTime>1510197135</CreateTime><MsgType><![CDATA[event]]></MsgType><AgentID>1000002</AgentID><Event><![CDATA[LOCATION]]></Event><Latitude>31.1695</Latitude><Longitude>121.152</Longitude><Precision>0</Precision></xml>
2017-11-09 11:12:16.760 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - fromUserName:ShiRui
2017-11-09 11:12:16.760 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - toUserName:ww92f5da92bb24696e
2017-11-09 11:12:16.760 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - msgType:event
2017-11-09 11:12:16.760 [http-apr-8080-exec-4] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - Event:LOCATION  eventKey:null
2017-11-09 11:12:23.316 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"access_token":"RVUMhaz-QcALWPrIef8VlQayDM5w55oYDw5FrLAax9W4TOLAOXTnChxYEP2-74uxxPT2C9i1I9wewB97GuODOPyN3p7to4_wYWQ3cAQMv-owZeVpxS-gopdSUPHtRFsxqx5m0RnpBhh0BI0DFiUS85FISGwMzmvNvPe6ZvlKrM54gETQx1ZRdVGQSMHVYFzqZBb9C7q_gw-eZZ9u8Kqw4A","errmsg":"ok","expires_in":7200}
2017-11-09 11:12:23.722 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdav_wS6aHw3IOuPFhwb5b37fHfTFdS6e23Vb_dbDCjTOg","errmsg":"ok","expires_in":7200}
2017-11-09 11:12:23.722 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - url:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 11:12:23.722 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - accessToken:RVUMhaz-QcALWPrIef8VlQayDM5w55oYDw5FrLAax9W4TOLAOXTnChxYEP2-74uxxPT2C9i1I9wewB97GuODOPyN3p7to4_wYWQ3cAQMv-owZeVpxS-gopdSUPHtRFsxqx5m0RnpBhh0BI0DFiUS85FISGwMzmvNvPe6ZvlKrM54gETQx1ZRdVGQSMHVYFzqZBb9C7q_gw-eZZ9u8Kqw4A
2017-11-09 11:12:23.722 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - jsapi_ticket:kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdav_wS6aHw3IOuPFhwb5b37fHfTFdS6e23Vb_dbDCjTOg
2017-11-09 11:12:23.722 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - appId:ww92f5da92bb24696e
2017-11-09 11:12:23.722 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - timestamp:1510197142
2017-11-09 11:12:23.723 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - nonceStr:a25756c2-de69-4ef3-8709-73800f7fd0ca
2017-11-09 11:12:23.723 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - signature:6501c51da472257976926ec421b058d070339afe
2017-11-09 11:12:23.723 [http-apr-8080-exec-8] INFO  com.ray.weixin.qy.util.AuthHelper - configValue:{"signature":"6501c51da472257976926ec421b058d070339afe","appId":"ww92f5da92bb24696e","nonceStr":"a25756c2-de69-4ef3-8709-73800f7fd0ca","timestamp":"1510197142"}
