2017-11-09 14:43:08.357 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.controller.WeiXinServlet - post--------------
2017-11-09 14:43:08.438 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - parms:{"msg_signature":["333802524654af63452a02346df9e2ab82996816"],"timestamp":["1510209787"],"nonce":["597467457"]}
2017-11-09 14:43:08.438 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - postData:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><Encrypt><![CDATA[EG6sSXg9tjAOorjwg1puZGxNZ/O6x9fSwqpI21qibjVb2hrRoIlHYve3cSX7dPtLgy0XSr9b4bvAByN9ytgT69rxPLRa06XxJuIiEkR1o7a+JtEV7ejCPwkxQ8Q3yzeQQ+uqahIAqTtPWOKnGEyL1GofYGshSDoMvlagiHMptqM5+WBBu+gGS9T0oHrob3niEN2iwwc7YqNhlyIWwUS+oSLVOE+0xM+aGtUmp+lmwFJlPayvOEsJWiF/v1ClxhpNxt/8Mbp7AV+MX1EZE+JdbaUg9ZMaEVYns6t2JcLzvzZHit80mkhjdn8ZV65XhAbAGmoGqGvfJpEMF6S/1aA5bWBI7QOcrya4uORnDS7VIMnTaUgJgT/I4Hy/2SYhDGmbKaKPni5XybACX7gRi0TY3/G33krrSygFUN+CMZpx5Qejz2DUtxGSAp30xRnGsAlqCA8jo6Wf8d6UnfLOk5HiNIMVXtZDf5x86N7koDZb0M8HhCHrkJVhVhL9EjD7yJ79]]></Encrypt><AgentID><![CDATA[1000002]]></AgentID></xml>
2017-11-09 14:43:08.466 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - reply_xmlMsg:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><FromUserName><![CDATA[XuZhao]]></FromUserName><CreateTime>1510209787</CreateTime><MsgType><![CDATA[event]]></MsgType><AgentID>1000002</AgentID><Event><![CDATA[view]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_qy/showInvoice.jsp]]></EventKey></xml>
2017-11-09 14:43:08.629 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - fromUserName:XuZhao
2017-11-09 14:43:08.629 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - toUserName:ww92f5da92bb24696e
2017-11-09 14:43:08.629 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - msgType:event
2017-11-09 14:43:08.629 [http-apr-8080-exec-33] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - Event:view  eventKey:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 14:43:09.643 [http-apr-8080-exec-36] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"access_token":"ZOJ3RCym--7oan0FJRpUghR5FMT3t_PsVCi9MrJ7PkNi0Z_MxYwjR6mKIjkeU2V-fEypmP6L0ja-6dgYSWBBsfToJPJDWpPrmA0CWfhZEbX02WmyrNutPeecHG9NmA4BtMPWbTFHYRwkajzRw0ew6X43h6qpEddkRtri8x-mpNS3wJyBv-AIagdVKtRVaEF0wsTM5K20aHm3C2LW22F77g","errmsg":"","expires_in":7200}
2017-11-09 14:43:10.060 [http-apr-8080-exec-36] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdbLUB0ucTHlJV0WpqmPsf-bnohhyeIsTh5Urv920HkAVA","errmsg":"","expires_in":7200}
2017-11-09 14:43:10.061 [http-apr-8080-exec-36] INFO  com.ray.weixin.qy.util.AuthHelper - url:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
