2017-11-07 14:06:09.995 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-07 14:06:10.001 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["be6d91e03f6e5a15ff3953f6008b5c9cd674b366"],"timestamp":["1510034769"],"nonce":["260195452"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-07 14:06:10.001 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510034769</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591669406</MenuId></xml>
2017-11-07 14:06:10.002 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-07 14:06:10.002 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510034769</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591669406</MenuId></xml>
2017-11-07 14:06:10.007 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-07 14:06:10.007 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-07 14:06:10.007 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-07 14:06:10.007 [http-apr-8080-exec-3] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 14:06:10.280 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"BJh_jpBa5LIDI9kR_ssfhjCK4HyhkxVAOlmSs2YrxtmEa3INV3izmj9zTzf-V3tvoAiIKU40LGb-UgNfIIkAe2H3GutasWDOe66eQthufBQLCTjTZ9DWpqclfH95BtFSJIReAIATSB","expires_in":7200}
2017-11-07 14:06:10.406 [http-apr-8080-exec-5] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhHSQIYlDgkkvWFFZAoiCyMeRK-_uHffh8IGz5wqv2Z0A","errmsg":"ok","expires_in":7200}
