2017-11-08 20:05:08.237 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-08 20:05:08.279 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["7fa4bd22d02b83848034a919509952d828ae0f5b"],"timestamp":["1510142707"],"nonce":["961884378"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-08 20:05:08.280 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510142707</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-08 20:05:08.280 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-08 20:05:08.281 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510142707</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591675728</MenuId></xml>
2017-11-08 20:05:08.531 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-08 20:05:08.531 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-08 20:05:08.531 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-08 20:05:08.531 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-08 20:05:08.692 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"JIpMOvmnfeQcbgM6FCbFUPFZzdb3oBLST3CHyGhbIe5Ik087QYhWLkuUeTIUgn4msrKQcA-nryJCjeWJJBq_wLKD7zlzVwl6wU3CKSY35JXs9P5o0T-jvGjrpSotndQMQMAhADAFBP","expires_in":7200}
2017-11-08 20:05:08.797 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkjOz9ws7-Tty_GJGLLAz1hMNjVq-lSCsHDojIZuoYmF9w","errmsg":"ok","expires_in":7200}
2017-11-08 20:05:08.797 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - accessToken:JIpMOvmnfeQcbgM6FCbFUPFZzdb3oBLST3CHyGhbIe5Ik087QYhWLkuUeTIUgn4msrKQcA-nryJCjeWJJBq_wLKD7zlzVwl6wU3CKSY35JXs9P5o0T-jvGjrpSotndQMQMAhADAFBP
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - ticket:kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkjOz9ws7-Tty_GJGLLAz1hMNjVq-lSCsHDojIZuoYmF9w
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:d3faea64-5699-4137-8c40-36c18887f6cf
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510142708
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - signedUrl:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - signature:f0bf3787687abb8d3f5f3d027df39e3d8cf5962a
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-08 20:05:08.798 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{signature:'f0bf3787687abb8d3f5f3d027df39e3d8cf5962a',nonceStr:'d3faea64-5699-4137-8c40-36c18887f6cf',timeStamp:'1510142708',appId:'wxa0064ea657f80062'}
2017-11-08 20:05:08.916 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"JIpMOvmnfeQcbgM6FCbFUPFZzdb3oBLST3CHyGhbIe5a2vuIKiTq4BmtrOXOrup0K6xoYA5PUPndZhDzvQKDEFFvm0hQPXtkI6dCJivLLjkCK1Rv95NDLS85g5t-GyNCCUEhADAVNX","expires_in":7200}
2017-11-08 20:05:09.035 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.service.invoice.InvoiceService - jsonObject:{"errcode":0,"ticket":"IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZIMN4ggF9OoAbQqV6bmy2SuxaLCXB2J_fozINrauENphQ","errmsg":"ok","expires_in":7200}
2017-11-08 20:05:09.037 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - apiTicket:IpK_1T69hDhZkLQTlwsAX5ZwNp_4txyINLb67lXqTZIMN4ggF9OoAbQqV6bmy2SuxaLCXB2J_fozINrauENphQ
2017-11-08 20:05:09.037 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - appId:wxa0064ea657f80062
2017-11-08 20:05:09.038 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - timeStamp:1510142709
2017-11-08 20:05:09.038 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - nonceStr:285efdc9-a852-454e-ae85-2c37526eabd2
2017-11-08 20:05:09.038 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - cardType:INVOICE
2017-11-08 20:05:09.039 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - cardSign:76e13e54599aab5d611f3a751c046a6d02610436
2017-11-08 20:05:09.039 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - signType:SHA1
2017-11-08 20:05:09.039 [http-apr-8080-exec-1] INFO  com.ray.weixin.gz.util.AuthHelper - configValue:{"signType":"SHA1","cardSign":"76e13e54599aab5d611f3a751c046a6d02610436","nonceStr":"285efdc9-a852-454e-ae85-2c37526eabd2","timestamp":"1510142709"}
