2017-11-09 12:09:15.682 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.controller.WeiXinServlet - post--------------
2017-11-09 12:09:15.685 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - parms:{"msg_signature":["15a244b39a6852fda32e807f84d7eee67e169fa8"],"timestamp":["1510200555"],"nonce":["1686952654"]}
2017-11-09 12:09:15.685 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - postData:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><Encrypt><![CDATA[EeVQjYmyFChCXZDw8ujSAseW1ECvWCHj/Ks4jBDaP8XmarSUPmyIWsPTLP59wBRJcC5Y55d1JF6zUnax95lNDD0MfIw6TGT9Hi4t/6W61qL4DcKwgL8aUbsEVcBhJ5FGzdQsxEL2XavyT6J9jokK6RHIxGklJXNxadzX/TC/3FoA7xVShpiz5YrOXAnjQkVra7S+KiKEQrSV97As2wj6QzD19IJhIqEbcY09M0xqTMi+KbT08LuHfsATEKAXlBYZ/MeXTpeklqiQwBgY7MWE8h62hCc+QVXq6Y9QuNEqagCupysPQfIwbZ+ysssSoZ3bGG/XHx3h5yNXGgvpUt4rpf1LCLXJmC3ruPIJLZwbV2NviXM06RTqXgdquwMWEPUXuZNkhb0vcA/x/occZhHovHF82qODa8Ax/plS1ftEDbcuNzT0fB1G0WoHEFcX6yzKGNAErdQ0FB/+dStODQzXwBUF58sswhcdlUdcYPa/gLiVE1/yPKcLNqE2rJFPdZiW]]></Encrypt><AgentID><![CDATA[1000002]]></AgentID></xml>
2017-11-09 12:09:15.689 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - reply_xmlMsg:<xml><ToUserName><![CDATA[ww92f5da92bb24696e]]></ToUserName><FromUserName><![CDATA[XuZhao]]></FromUserName><CreateTime>1510200555</CreateTime><MsgType><![CDATA[event]]></MsgType><AgentID>1000002</AgentID><Event><![CDATA[view]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_qy/showInvoice.jsp]]></EventKey></xml>
2017-11-09 12:09:15.690 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - fromUserName:XuZhao
2017-11-09 12:09:15.691 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - toUserName:ww92f5da92bb24696e
2017-11-09 12:09:15.691 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - msgType:event
2017-11-09 12:09:15.691 [http-apr-8080-exec-1] INFO  com.ray.weixin.qy.service.message.reply.ReplyMessageService - Event:view  eventKey:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
2017-11-09 12:09:15.823 [http-apr-8080-exec-2] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"access_token":"HAXViOQY3DGAvBiBKjCsINmIRRUBT5qPdfoC4Z8571X1BUGBGeUR24SM9BJttafP4lMxb8DMjyyKPX0WO1az3mXgERblmFYc8l8o5qRwLhqXSTaQf4H5kiX5_IUQ5aEhzMVrHdHo71xR9DphzuJ-zUFPYWFBoF2UZ1VQVCmVzidT3HCqCocrpbksyJw4Kp2n9j-O6V7UVhewcXu4SXgRIg","errmsg":"ok","expires_in":7200}
2017-11-09 12:09:16.195 [http-apr-8080-exec-2] INFO  com.ray.weixin.qy.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qebCLEfC_BfeygIq8cFPLbdbdgXAuwqW0TQb7lRnbFXxfHzevQQFSYr2oYlyC7L5k6Q","errmsg":"ok","expires_in":7200}
2017-11-09 12:09:16.196 [http-apr-8080-exec-2] INFO  com.ray.weixin.qy.util.AuthHelper - url:http://rayner.nat300.top/weixin_qy/showInvoice.jsp
