2017-11-07 14:08:47.191 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.controller.WeiXinServlet - post--------------
2017-11-07 14:08:47.203 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - parms:{"signature":["e3d6e33121358f820fa07937d0135a33b2474ba7"],"timestamp":["1510034926"],"nonce":["1243937729"],"openid":["oDLefxDvQajibXhSWIWHrkiO1n2o"]}
2017-11-07 14:08:47.203 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - postData:<xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510034926</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591669406</MenuId></xml>
2017-11-07 14:08:47.204 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - 明文模式
2017-11-07 14:08:47.205 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - <xml><ToUserName><![CDATA[gh_8c1dd328db4e]]></ToUserName><FromUserName><![CDATA[oDLefxDvQajibXhSWIWHrkiO1n2o]]></FromUserName><CreateTime>1510034926</CreateTime><MsgType><![CDATA[event]]></MsgType><Event><![CDATA[VIEW]]></Event><EventKey><![CDATA[http://rayner.nat300.top/weixin_gz/showInvoice.jsp]]></EventKey><MenuId>591669406</MenuId></xml>
2017-11-07 14:08:47.224 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - fromUserName:oDLefxDvQajibXhSWIWHrkiO1n2o
2017-11-07 14:08:47.224 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - toUserName:gh_8c1dd328db4e
2017-11-07 14:08:47.225 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - msgType:event
2017-11-07 14:08:47.225 [http-apr-8080-exec-6] INFO  com.ray.weixin.gz.service.message.ReplyMessageService - Event:VIEW  eventKey:http://rayner.nat300.top/weixin_gz/showInvoice.jsp
2017-11-07 14:08:47.553 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"access_token":"rotoNsO7i3h7LRuowL-dWXMdWI_gZ31G06bg5yCOf3eZLX-Rn7evMIUSQOJE6nLajBVp-MFLfX0hieG78ZvRnqza4htut9u7VSkbMppHGLIY5MmhiOipIqxp0w8sL0HzCFSbAJAPSF","expires_in":7200}
2017-11-07 14:08:47.690 [http-apr-8080-exec-9] INFO  com.ray.weixin.gz.util.AuthHelper - jsonObject:{"errcode":0,"ticket":"kgt8ON7yVITDhtdwci0qed-m2nUygHpV3DXUL-ToMkhHSQIYlDgkkvWFFZAoiCyMeRK-_uHffh8IGz5wqv2Z0A","errmsg":"ok","expires_in":7200}
